,Datetime,Text
0,2020-09-14 23:59:59+00:00,@realDonaldTrump #BountyGate #RonJohnsonIsARussianAsset
1,2020-09-14 23:59:59+00:00,"The National anthem is not played at funerals, that’s called taps! The anthem symbolizes the birth of Democracy. We have a holiday called Memorial Day to reflect on all those that served and gave their lives. The far right has perverted the anthem into a test of patriotism."
2,2020-09-14 23:59:59+00:00,
3,2020-09-14 23:59:59+00:00,"I'm old enough to remember when Al Gore said the arctic would be all melted by now, all the polar bears would be dead and Florida would be underwater. Weird how people that swear this is an existential threat are buying oceanfront mansions."
4,2020-09-14 23:59:59+00:00,"Same dumbfuck that ran the USFL into the ground and tried to buy the Bills? That Donald Trump? Yes, he clearly hates football "
5,2020-09-14 23:59:59+00:00,No one is encouraging that. Your koolaid breath is fierce. Have a mint.
6,2020-09-14 23:59:59+00:00,@realDonaldTrump 
7,2020-09-14 23:59:59+00:00,Have I told you lately that #NobodyLikesYou ?
8,2020-09-14 23:59:59+00:00,"Cubans Representing. #Cubans4Trump pull off a Massive Caravan in support of @realDonaldTrump 4,000+ Vehicles. Check out these awesome aerial drone shots. IT'S YUGE #Cubans4Trump #LatinosForTrump #HispanicsForTrump"
9,2020-09-14 23:59:59+00:00,Ur a proven liar at this point. I've got nothing else to say to u.
10,2020-09-14 23:59:59+00:00,All this NARCISSISM is becoming boring!!!!!
11,2020-09-14 23:59:59+00:00,@POTUS @realDonaldTrump it's time to prove yourself to @LindseyGrahamSC and the country. Release your tax returns.
12,2020-09-14 23:59:58+00:00,"That one lady did, even while handcuffed!"
13,2020-09-14 23:59:58+00:00,Good he's out of California.
14,2020-09-14 23:59:58+00:00,@realDonaldTrump DONALD TRUMP = CRIMINAL!
15,2020-09-14 23:59:58+00:00,Since No wall has been built by Trump and Mexico is Not going to pay for it. Not sure how we are saving billons.
16,2020-09-14 23:59:58+00:00,
17,2020-09-14 23:59:58+00:00,You're gonna get crushed 
18,2020-09-14 23:59:58+00:00,"Cool, you are throwing your support to Donald Trump."
19,2020-09-14 23:59:58+00:00,Go back to sleep Johnny !
20,2020-09-14 23:59:58+00:00,You had 40 years to act on climate!!!!!!!! #DoNothingBiden
21,2020-09-14 23:59:58+00:00,"The bottom line is 200,000 are dead from Covid. We have 25% of worldwide deaths but only 4% of the population. Donald trump is guilty of genocide."
22,2020-09-14 23:59:58+00:00,@JoeBiden Are you going to do the @joerogan debate with @realDonaldTrump? If you cant do this with joe rogan at the helm you cant have my vote. Joe is fair and i believe he represents what most Americans want to ask. #JoeRoganDebate
23,2020-09-14 23:59:58+00:00,I wouldn't watch a Trump sponsored worm wrestle.
24,2020-09-14 23:59:58+00:00,وانت شنو ناطق بأسم الخليج لو بوق لترامب..؟
25,2020-09-14 23:59:57+00:00,"Hiden’s Social media team. Go wake up old Joe and tell him he’s not fit, mentally, to be our president."
26,2020-09-14 23:59:57+00:00,@realDonaldTrump @RickyDiggs Hey I just blocked the NHL from posting on my Twitter feed. It felt good to fire back at Twitter for suspending me.
27,2020-09-14 23:59:57+00:00,If I’m not mistaken 9/11 was on a Friday. There is no football on Fridays.
28,2020-09-14 23:59:57+00:00,She’s a massive two faced fraud
29,2020-09-14 23:59:57+00:00,"Governor,it’s not climate change,it’s people who throw Molotov cocktails! It’s called forestry management like they used to do,where they kept forest cleaned! When people knew what they were doing,instead of just blaming others!"
30,2020-09-14 23:59:57+00:00,All the other asshats out there
31,2020-09-14 23:59:57+00:00,#TrumpIsARapist
32,2020-09-14 23:59:57+00:00,Floridians struggling to pay off outstanding fees and fines associated with their felony convictions before they register to vote. Source ~ https://amp.cnn.com/cnn/2020/07/25/politics/lebron-james-florida-voting-rights-felons/index.html @KingJames @Dame_Lillard @TuckerCarlson @seanhannity @IvankaTrump @realNDWalsch @realDonaldTrump @thomhartmann ..
33,2020-09-14 23:59:56+00:00,"He absolutely mentioned them, have u watched any news or press conferences?"
34,2020-09-14 23:59:56+00:00,Did you put judges in those states also??
35,2020-09-14 23:59:56+00:00,"The ""Lincoln Project"" is a Fraud"
36,2020-09-14 23:59:56+00:00, 
37,2020-09-14 23:59:56+00:00,@realDonaldTrump 
38,2020-09-14 23:59:56+00:00,When does your porn film come out?
39,2020-09-14 23:59:56+00:00,The tougher the leaders the better you get along with them? Yeah right. You fold like a cheap suit in front of Putin and you kissed more KJU ass than any political prisoner in a Pyongyang prison camp.
40,2020-09-14 23:59:56+00:00,Agreed. @realDonaldTrump 
41,2020-09-14 23:59:56+00:00,Well according to @realDonaldTrump prices have been reduced. 
42,2020-09-14 23:59:55+00:00,"wow! Joe Biden can solve climate change. A guy, who achieved nothing in his entire career, now is claiming that he is gonna solve the most challenging issue in this world."
43,2020-09-14 23:59:55+00:00,.@realDonaldTrump is consistent in his ability to conflate untruths to get across a particular point. 
44,2020-09-14 23:59:55+00:00,"Nothing new from Trump.Still pushing his Hillary email How many years has he been peddling the same old drug? No prosecution ,no jail,no http://crime.Case solved.Trump meanwhile commits treason by selling American soldiers to Russian paid bounty killers,"
45,2020-09-14 23:59:55+00:00,"Well, by all means, if both you and the kid's lawyers say it's true, why in the world would anyone question that? It's obvious you've got all your mental faculties perfectly intact. "
46,2020-09-14 23:59:55+00:00,"What about lowering the national debt too? So if you want to even stop adding to the debt we would need to cut militarily/defense spending entirely, and with that cut how are you gonna funnel some of that money if there isn’t any? I also said lower taxes not keep them the same."
47,2020-09-14 23:59:54+00:00,Do you even know what climate change is @JoeBiden ?
48,2020-09-14 23:59:54+00:00,ARREST TRUMP FOR NEGLIGENT HOMICIDE AS HE TELLS FANS COME TO THE RALLIES AND DO NOT WEAR A MASK
49,2020-09-14 23:59:54+00:00,@realDonaldTrump This is still happening AFTER your EO. Who is responsible for this continuing after you banned the government from teaching this rot? Heads should roll. 
50,2020-09-14 23:59:54+00:00,"Ahh, all of those casinos that didn’t go into bankruptcy ! Suckers…losers "
51,2020-09-14 23:59:54+00:00,NO. You vote once and In Person.
52,2020-09-14 23:59:54+00:00,"Yo, challenge @realDonaldTrump next"
53,2020-09-14 23:59:54+00:00,You need to do some research and stop using Facebook as a source. Science isn’t political.
54,2020-09-14 23:59:54+00:00,"Hyperbole reeks of desperation. How exactly is the ""radical left"" attempting to throw out the Constitution? And *who* is the radical left? We have real issues with Trump's attack on justice happening right now. You're ok with that? #FactsMatter"
55,2020-09-14 23:59:54+00:00,Lol
56,2020-09-14 23:59:54+00:00, 
57,2020-09-14 23:59:53+00:00,Thank you racist-in-chief
58,2020-09-14 23:59:53+00:00,"Sure, #JoeBiden it’s all Trump’s fault. #Election2020 it’s not like you’ve had 47 years in Govt incl 8 years as VP to do something about what you are talking about."
59,2020-09-14 23:59:53+00:00,حبيبي استاذ غيث (لعبت) مو (لعبة)
60,2020-09-14 23:59:53+00:00,Casi te creo jajajjajaj tira jajaj
61,2020-09-14 23:59:53+00:00,each county is fairly
62,2020-09-14 23:59:53+00:00,Why? Why should she be ashamed?
63,2020-09-14 23:59:53+00:00,Joe Rogan sir!
64,2020-09-14 23:59:53+00:00,How are they useful when you are not even respectful enough to read my comment or even who I’m tweeting. You are always off in left field. You just told me Donald Trump had been dead for years. Earlier you were way off on the subject. Your not smart enough to correct me. Facts!
