,Datetime,Text
0,2019-10-30 23:59:48+00:00,#Shipping #Transport #Logistics #Commodities #TradeWar Charts of the Day: How Trade War and a Changing China Are Roiling World Shipping (@markets)
1,2019-10-30 23:59:36+00:00,"Trump's trade war, so much winning! : Chapter 12 Filings Increase 24% Compared to Year-Ago Levels "
2,2019-10-30 23:58:17+00:00,Trump blames companies impacted by his trade war 
3,2019-10-30 23:50:44+00:00,"Apple tunes out trade war as new AirPods, services lift holiday outlook | Article [AMP] | Reuters "
4,2019-10-30 23:50:13+00:00, Hot off the press: “US share of global AI VC grows; KT to invest 300m won in AI” http://newsletter.asiaainews.com/archive/207656 #AsiaAI #AI #SouthKorea #venturecapital #China #USA #tradewar #KoreaTelecom
5,2019-10-30 23:48:28+00:00,"Apple tunes out trade war as new AirPods, services lift holiday outlook "
6,2019-10-30 23:47:58+00:00,"New post (Apple tunes out trade war as new AirPods, services lift holiday outlook) has been published on NEWS&amp;SOCIAL - https://app.newsandsocial.com/feed-items/apple-tunes-out-trade-war-as-new-airpods-services-lift-holiday-outlook-2/"
7,2019-10-30 23:47:55+00:00,"New post (Apple tunes out trade war as new AirPods, services lift holiday outlook) has been published on NEWS&amp;SOCIAL - https://app.newsandsocial.com/feed-items/apple-tunes-out-trade-war-as-new-airpods-services-lift-holiday-outlook/"
8,2019-10-30 23:47:51+00:00,"New Article: Apple tunes out trade war as new AirPods, services lift holiday outlook https://tradeforprofit.net/2019/10/apple-tunes-out-trade-war-as-new-airpods-services-lift-holiday-outlook/ #businessNews October 30, 2019"
9,2019-10-30 23:47:04+00:00,"Apple tunes out trade war as new AirPods, services lift holiday outlook https://japantoday.com/category/tech/update-5-apple-tunes-out-trade-war-as-new-airpods-services-lift-holiday-outlook?utm_source=twitter&amp;utm_medium=referral&amp;utm_campaign=dlvr.it"
10,2019-10-30 23:43:19+00:00,"In China’s capital of Halloween slime and ooze, the trade war is a scary subject https://www.plow.io/post/in-chinas-capital-of-halloween-slime-and-ooze-the-trade-war-is-a-scary-subject?utm_source=Twitter&amp;utm_campaign=Business +1 KachingBot #Business"
11,2019-10-30 23:41:32+00:00,"Apple tunes out trade war as new AirPods, services lift holiday outlook https://www.reuters.com/article/us-apple-results-idUSKBN1X92J4?utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_content=5dba1f758021ed000132c607&amp;utm_medium=trueAnthem&amp;utm_source=twitter"
12,2019-10-30 23:40:44+00:00,"Trade war will first trigger China Property Market to Burst. 1st Evergrande Group, Banks Follow, then all hell broke loose !"
13,2019-10-30 23:40:43+00:00,"U.S. farm bankruptcies surged 24% in September, to the highest since 2011, amid the trade war and a year of wild weather. "
14,2019-10-30 23:37:25+00:00,"UPDATE 5-Apple tunes out trade war as new AirPods, services lift holiday outlook $AAPL"
15,2019-10-30 23:37:15+00:00,"Apple tunes out trade war as new AirPods, services lift holiday outlook http://twib.in/l/MxopejXGoEjz"
16,2019-10-30 23:33:33+00:00,"$AAPL tunes out trade war as new AirPods, services lift holiday outlook Apple on Wed forecast sales for the holiday Q ahead of WS forecasts, w/ CEO seeing strong sales of wearables such as the noise-cancelling AirPods Pro &amp; hoping for a trade deal by YE https://apple.news/AgrfAhxiqTcODfi4yl-QSzA"
17,2019-10-30 23:33:03+00:00,The perfect pic for the trade war. 
18,2019-10-30 23:31:37+00:00,U.S. Farm Bankruptcies Surge 24% on Strain From Trump Trade War https://news.yahoo.com/u-farm-bankruptcies-surge-24-160304409.html?soc_src=community&amp;soc_trk=tw via @Yahoo
19,2019-10-30 23:31:02+00:00,"Also I have seen farmers defending the trade war saying ""we shouldn't be so dependent on china"" this would make us MORE dependant on china. But, can't expect a trumpie to make sense."
20,2019-10-30 23:30:39+00:00,@HOSTILE growth. We are still exceeding any normal growth and all the earnings numbers are there and look at their guidance. They guide higher and we we keep cracking that. So many reasons why. Take the trade war. If and when... 
21,2019-10-30 23:30:01+00:00,"""The region is already well aware that US interest in the Indo-Pacific, outside the trade war with China, is marginal &amp; superficial."" @GregoryVRaymond on Trump's choice to send a reduced delegation to next week's East Asia Summit. @ANUBellSchool @jbhavan http://bit.ly/2BTEw1j"
22,2019-10-30 23:29:27+00:00,"List those accomplishments... no wall, no healthcare, Energy/Coal Co. filing for Bankruptcy, Steel Industry is at a stand still, Trade War going no where, Economy is starting to slow down, hasn’t paid on the the deficit but has increased at record pace, no infrastructure.... "
23,2019-10-30 23:28:55+00:00,Gilman defends Trump trade ‘war’ 
24,2019-10-30 23:27:11+00:00,U.S. Farm Bankruptcies Surge 24% on Strain From Trump Trade War 
25,2019-10-30 23:26:59+00:00,U.S. Farm Bankruptcies Surge 24% on Strain From Trump Trade War http://flip.it/SmBEY_ #trump #Trump2020 #TrumpTrain2020 #MAGA
26,2019-10-30 23:26:20+00:00,"""inversion is likely to remain as continued overhang from the trade war, the absence of a strong reflationary impulse, and the approach of the 2020 US presidential election will make it difficult to price a high probability of rate hikes."" "
